Supplier_ID,Supplier_Name,Region,Avg_Lead_Time_Days,Reliability_Score,Cost_Per_Item,Last_Order_Date,Next_Delivery_Date,On_Time_Delivery_Rate
V358,Supplier_333,Lucknow,8,4.5,116.11,2024-09-18,2024-09-26,77
V374,Supplier_334,Bangalore,8,4.5,120.35,2024-08-20,2024-08-28,79
V678,Supplier_335,Hyderabad,8,4.7,101.86,2024-01-20,2024-01-28,82
V651,Supplier_336,Chennai,9,4.6,86.64,2024-03-11,2024-03-20,75
V305,Supplier_337,Bangalore,10,4.6,117.67,2024-09-08,2024-09-18,84
V418,Supplier_338,Delhi,4,3.7,89.34,2024-11-11,2024-11-15,77
V632,Supplier_339,Bangalore,9,4.8,112.22,2024-02-20,2024-02-29,91
V328,Supplier_340,Mumbai,12,4.2,87.3,2024-04-11,2024-04-23,77
V440,Supplier_341,Mumbai,6,3.7,103.67,2024-10-20,2024-10-26,73
V588,Supplier_342,Delhi,8,4.7,111.71,2024-06-03,2024-06-11,91
V224,Supplier_343,Mumbai,8,4.7,91.09,2024-04-10,2024-04-18,74
V228,Supplier_344,Mumbai,5,4.1,91.1,2024-06-25,2024-06-30,89
V312,Supplier_345,Mumbai,6,3.9,86.62,2024-01-12,2024-01-18,88
V357,Supplier_346,Bangalore,13,3.9,112.33,2024-05-02,2024-05-15,94
V126,Supplier_347,Bangalore,8,4.5,116.56,2024-07-27,2024-08-04,82
V964,Supplier_348,Hyderabad,8,4.9,113.48,2024-10-10,2024-10-18,81
V377,Supplier_349,Pune,3,3.5,100.7,2024-06-14,2024-06-17,82
V823,Supplier_350,Chennai,8,4.3,115.31,2024-07-27,2024-08-04,72
V910,Supplier_351,Kolkata,5,4.7,115.77,2024-09-27,2024-10-02,87
V847,Supplier_352,Pune,4,4.0,97.63,2024-10-21,2024-10-25,76
V189,Supplier_353,Pune,10,4.9,95.31,2024-11-16,2024-11-26,85
V434,Supplier_354,Bangalore,5,3.8,83.66,2024-02-17,2024-02-22,94
V770,Supplier_355,Pune,7,4.8,109.0,2024-08-06,2024-08-13,89
V617,Supplier_356,Mumbai,5,3.9,118.43,2024-09-21,2024-09-26,73
V105,Supplier_357,Bangalore,11,4.7,90.87,2024-11-08,2024-11-19,78
V845,Supplier_358,Lucknow,9,4.1,98.89,2024-03-19,2024-03-28,76
V378,Supplier_359,Pune,12,4.7,96.68,2024-09-23,2024-10-05,91
V366,Supplier_360,Mumbai,11,4.4,121.72,2024-01-24,2024-02-04,71
V411,Supplier_361,Mumbai,5,4.3,114.23,2024-09-03,2024-09-08,73
V371,Supplier_362,Chennai,7,4.1,88.98,2024-09-05,2024-09-12,75
V347,Supplier_363,Hyderabad,7,4.2,116.34,2024-06-18,2024-06-25,89
V889,Supplier_364,Kolkata,4,4.1,97.7,2024-11-07,2024-11-11,94
V919,Supplier_365,Delhi,5,4.6,111.98,2024-11-03,2024-11-08,80
V604,Supplier_366,Chennai,4,3.8,100.16,2024-03-07,2024-03-11,77
V198,Supplier_367,Mumbai,12,4.9,113.94,2024-08-08,2024-08-20,85
V442,Supplier_368,Bangalore,4,3.7,119.67,2024-03-14,2024-03-18,80
V544,Supplier_369,Lucknow,5,4.8,97.53,2024-03-01,2024-03-06,72
V539,Supplier_370,Mumbai,12,4.7,89.88,2024-08-11,2024-08-23,93
V598,Supplier_371,Hyderabad,13,4.8,90.56,2024-06-02,2024-06-15,92
V759,Supplier_372,Pune,9,4.4,112.2,2024-04-17,2024-04-26,73
V217,Supplier_373,Delhi,12,4.9,110.91,2024-11-12,2024-11-24,71
V612,Supplier_374,Lucknow,5,4.6,114.66,2024-06-05,2024-06-10,89
V975,Supplier_375,Hyderabad,6,3.7,90.99,2024-04-14,2024-04-20,87
V908,Supplier_376,Hyderabad,9,4.1,113.29,2024-07-26,2024-08-04,93
V693,Supplier_377,Pune,5,4.6,108.86,2024-03-15,2024-03-20,90
V396,Supplier_378,Mumbai,7,4.9,110.65,2024-09-22,2024-09-29,93
V574,Supplier_379,Mumbai,14,4.0,107.25,2024-08-13,2024-08-27,71
V311,Supplier_380,Lucknow,5,4.1,116.9,2024-02-03,2024-02-08,77
V233,Supplier_381,Hyderabad,12,4.1,121.14,2024-06-24,2024-07-06,90
V704,Supplier_382,Bangalore,5,4.0,105.95,2024-09-08,2024-09-13,87
V625,Supplier_383,Lucknow,12,3.5,90.25,2024-11-20,2024-12-02,78
V140,Supplier_384,Hyderabad,10,3.6,95.46,2024-06-23,2024-07-03,92
V733,Supplier_385,Pune,3,4.1,119.73,2024-10-02,2024-10-05,79
V841,Supplier_386,Kolkata,9,4.8,111.63,2024-03-20,2024-03-29,93
V472,Supplier_387,Bangalore,5,4.3,112.98,2024-09-07,2024-09-12,90
V422,Supplier_388,Mumbai,7,4.9,110.17,2024-01-03,2024-01-10,86
V394,Supplier_389,Bangalore,11,4.3,100.66,2024-02-13,2024-02-24,71
V971,Supplier_390,Kolkata,6,4.8,114.3,2024-03-02,2024-03-08,79
V698,Supplier_391,Lucknow,9,3.7,120.83,2024-02-25,2024-03-05,87
V257,Supplier_392,Lucknow,12,3.8,89.91,2024-04-04,2024-04-16,72
V877,Supplier_393,Mumbai,4,3.6,121.54,2024-01-02,2024-01-06,70
V236,Supplier_394,Mumbai,9,4.4,112.79,2024-10-02,2024-10-11,86
V633,Supplier_395,Chennai,13,4.5,102.53,2024-11-20,2024-12-03,80
V424,Supplier_396,Chennai,11,4.2,88.2,2024-04-12,2024-04-23,90
V991,Supplier_397,Pune,6,3.7,91.32,2024-09-23,2024-09-29,87
V184,Supplier_398,Bangalore,14,4.8,84.46,2024-08-24,2024-09-07,89
V929,Supplier_399,Mumbai,6,3.8,109.31,2024-08-25,2024-08-31,72
V682,Supplier_400,Bangalore,14,3.9,103.84,2024-07-08,2024-07-22,86
V168,Supplier_401,Chennai,10,4.4,86.8,2024-04-19,2024-04-29,86
V942,Supplier_402,Kolkata,9,3.6,99.47,2024-08-02,2024-08-11,80
V545,Supplier_403,Chennai,4,3.8,99.23,2024-10-21,2024-10-25,90
V200,Supplier_404,Mumbai,13,4.3,112.22,2024-10-26,2024-11-08,82
V688,Supplier_405,Hyderabad,8,4.4,119.03,2024-11-14,2024-11-22,94
V431,Supplier_406,Hyderabad,10,4.6,84.22,2024-07-12,2024-07-22,83
V313,Supplier_407,Kolkata,8,4.9,101.37,2024-07-13,2024-07-21,95
V972,Supplier_408,Lucknow,9,3.8,90.12,2024-05-04,2024-05-13,72
V512,Supplier_409,Hyderabad,3,4.1,112.58,2024-06-20,2024-06-23,88
V894,Supplier_410,Delhi,5,3.7,119.56,2024-07-27,2024-08-01,74
V810,Supplier_411,Chennai,10,4.0,107.38,2024-04-12,2024-04-22,77
V740,Supplier_412,Pune,4,4.9,101.64,2024-03-05,2024-03-09,89
V317,Supplier_413,Chennai,13,5.0,90.41,2024-08-08,2024-08-21,79
V458,Supplier_414,Bangalore,11,4.4,121.69,2024-03-01,2024-03-12,95
V351,Supplier_415,Delhi,9,4.5,116.26,2024-05-26,2024-06-04,78
V797,Supplier_416,Mumbai,7,4.7,93.63,2024-06-26,2024-07-03,81
V260,Supplier_417,Mumbai,14,5.0,118.14,2024-07-22,2024-08-05,94
V787,Supplier_418,Bangalore,3,4.3,104.1,2024-04-05,2024-04-08,83
V571,Supplier_419,Hyderabad,10,4.1,111.76,2024-09-10,2024-09-20,81
V879,Supplier_420,Bangalore,9,3.8,115.88,2024-02-27,2024-03-07,81
V864,Supplier_421,Delhi,5,4.6,103.82,2024-02-01,2024-02-06,95
V995,Supplier_422,Bangalore,4,4.5,92.48,2024-02-19,2024-02-23,71
V196,Supplier_423,Delhi,3,4.4,82.19,2024-01-23,2024-01-26,72
V343,Supplier_424,Mumbai,9,4.2,99.31,2024-07-11,2024-07-20,71
V421,Supplier_425,Chennai,12,4.8,81.75,2024-07-05,2024-07-17,85
V121,Supplier_426,Lucknow,7,3.7,89.55,2024-07-22,2024-07-29,87
V869,Supplier_427,Mumbai,11,4.4,120.05,2024-10-14,2024-10-25,84
V181,Supplier_428,Bangalore,14,4.0,90.43,2024-06-20,2024-07-04,71
V792,Supplier_429,Delhi,7,4.6,82.05,2024-04-12,2024-04-19,84
V500,Supplier_430,Kolkata,5,4.7,114.25,2024-07-06,2024-07-11,88
V705,Supplier_431,Delhi,4,4.2,105.83,2024-08-07,2024-08-11,74
V509,Supplier_432,Delhi,13,4.2,98.13,2024-03-03,2024-03-16,74
V793,Supplier_433,Mumbai,12,4.9,89.49,2024-07-26,2024-08-07,83
V655,Supplier_434,Delhi,6,4.9,81.79,2024-11-24,2024-11-30,89
V807,Supplier_435,Kolkata,14,4.9,120.77,2024-03-15,2024-03-29,90
V513,Supplier_436,Delhi,3,4.4,106.29,2024-10-13,2024-10-16,80
V107,Supplier_437,Kolkata,9,3.7,111.38,2024-08-03,2024-08-12,88
V814,Supplier_438,Kolkata,5,4.2,102.03,2024-10-15,2024-10-20,78
V470,Supplier_439,Lucknow,14,4.6,96.3,2024-11-05,2024-11-19,79
V873,Supplier_440,Mumbai,11,4.9,111.15,2024-06-03,2024-06-14,75
V446,Supplier_441,Lucknow,13,4.1,115.93,2024-09-07,2024-09-20,85
V211,Supplier_442,Hyderabad,8,3.9,109.47,2024-11-18,2024-11-26,95
V388,Supplier_443,Hyderabad,4,3.6,108.71,2024-10-10,2024-10-14,78
V563,Supplier_444,Delhi,7,4.6,92.89,2024-06-14,2024-06-21,78
V976,Supplier_445,Delhi,13,4.3,115.56,2024-01-13,2024-01-26,90
V631,Supplier_446,Lucknow,6,3.7,117.28,2024-08-19,2024-08-25,82
V369,Supplier_447,Bangalore,4,3.7,109.25,2024-02-02,2024-02-06,84
V680,Supplier_448,Bangalore,8,4.2,98.15,2024-02-15,2024-02-23,83
V487,Supplier_449,Bangalore,6,3.5,106.28,2024-04-11,2024-04-17,78
V654,Supplier_450,Kolkata,12,3.5,91.4,2024-02-10,2024-02-22,81
V786,Supplier_451,Bangalore,7,4.7,96.66,2024-10-15,2024-10-22,75
V981,Supplier_452,Hyderabad,4,4.3,95.32,2024-01-24,2024-01-28,80
V320,Supplier_453,Kolkata,4,4.7,119.61,2024-04-01,2024-04-05,95
V176,Supplier_454,Hyderabad,5,3.9,113.32,2024-09-14,2024-09-19,86
V961,Supplier_455,Bangalore,14,5.0,83.03,2024-05-13,2024-05-27,94
V142,Supplier_456,Hyderabad,9,4.0,121.45,2024-02-06,2024-02-15,70
V751,Supplier_457,Delhi,8,4.8,94.47,2024-01-13,2024-01-21,73
V712,Supplier_458,Lucknow,6,3.7,83.41,2024-06-20,2024-06-26,94
V706,Supplier_459,Lucknow,6,4.3,84.99,2024-07-12,2024-07-18,70
V674,Supplier_460,Lucknow,11,5.0,91.83,2024-06-24,2024-07-05,83
V649,Supplier_461,Kolkata,13,4.2,92.67,2024-05-24,2024-06-06,92
V532,Supplier_462,Chennai,6,5.0,88.88,2024-06-20,2024-06-26,77
V552,Supplier_463,Mumbai,3,4.1,89.44,2024-08-19,2024-08-22,82
V180,Supplier_464,Mumbai,9,3.9,95.74,2024-08-11,2024-08-20,79
V476,Supplier_465,Bangalore,11,4.2,95.99,2024-02-24,2024-03-06,71
V878,Supplier_466,Hyderabad,6,4.9,95.23,2024-03-21,2024-03-27,71
V731,Supplier_467,Hyderabad,8,3.7,91.0,2024-08-21,2024-08-29,78
V227,Supplier_468,Mumbai,6,4.9,105.96,2024-09-05,2024-09-11,88
V429,Supplier_469,Chennai,11,5.0,95.19,2024-06-05,2024-06-16,72
V143,Supplier_470,Hyderabad,12,3.8,106.23,2024-06-10,2024-06-22,70
V471,Supplier_471,Delhi,14,3.9,82.91,2024-11-03,2024-11-17,89
V989,Supplier_472,Mumbai,7,3.5,92.66,2024-04-08,2024-04-15,75
V714,Supplier_473,Lucknow,7,4.1,95.09,2024-04-09,2024-04-16,78
V543,Supplier_474,Delhi,10,3.8,112.06,2024-01-17,2024-01-27,95
V229,Supplier_475,Bangalore,14,4.3,102.92,2024-11-09,2024-11-23,70
V285,Supplier_476,Pune,3,4.8,117.71,2024-09-05,2024-09-08,81
V326,Supplier_477,Delhi,12,4.7,93.84,2024-01-26,2024-02-07,82
V213,Supplier_478,Delhi,14,4.7,85.1,2024-11-08,2024-11-22,87
V515,Supplier_479,Mumbai,3,4.7,113.79,2024-09-17,2024-09-20,83
V297,Supplier_480,Pune,7,3.9,98.14,2024-02-23,2024-03-01,71
V101,Supplier_481,Kolkata,8,3.9,97.27,2024-10-12,2024-10-20,71
V525,Supplier_482,Lucknow,5,4.8,98.62,2024-03-21,2024-03-26,78
V410,Supplier_483,Kolkata,9,4.1,91.77,2024-05-14,2024-05-23,71
V874,Supplier_484,Mumbai,12,4.3,98.11,2024-04-14,2024-04-26,91
V430,Supplier_485,Lucknow,6,5.0,113.2,2024-06-27,2024-07-03,85
V732,Supplier_486,Pune,4,4.3,88.21,2024-02-07,2024-02-11,91
V990,Supplier_487,Bangalore,10,3.9,119.09,2024-11-04,2024-11-14,79
V108,Supplier_488,Hyderabad,7,3.6,105.61,2024-08-05,2024-08-12,91
V188,Supplier_489,Delhi,3,4.3,91.81,2024-01-18,2024-01-21,79
V244,Supplier_490,Delhi,7,4.8,88.86,2024-11-08,2024-11-15,78
V606,Supplier_491,Delhi,10,4.6,99.3,2024-06-05,2024-06-15,88
V983,Supplier_492,Delhi,11,4.2,116.77,2024-11-07,2024-11-18,82
V133,Supplier_493,Pune,14,3.6,85.94,2024-07-26,2024-08-09,87
V669,Supplier_494,Lucknow,7,4.0,99.7,2024-04-20,2024-04-27,80
V928,Supplier_495,Bangalore,5,4.8,91.6,2024-06-20,2024-06-25,85
V550,Supplier_496,Delhi,10,4.5,95.09,2024-01-16,2024-01-26,87
V842,Supplier_497,Chennai,4,4.9,111.73,2024-05-24,2024-05-28,82
V427,Supplier_498,Mumbai,13,4.1,103.14,2024-04-13,2024-04-26,77
V492,Supplier_499,Pune,3,4.1,91.65,2024-08-11,2024-08-14,74
V271,Supplier_500,Mumbai,11,4.4,97.08,2024-03-07,2024-03-18,78
V838,Supplier_501,Kolkata,9,4.7,96.71,2024-04-16,2024-04-25,76
V924,Supplier_502,Lucknow,6,4.9,113.57,2024-06-10,2024-06-16,71
V171,Supplier_503,Kolkata,8,4.5,121.42,2024-09-13,2024-09-21,70
V849,Supplier_504,Delhi,8,3.7,111.85,2024-07-01,2024-07-09,83
V695,Supplier_505,Delhi,11,4.8,106.87,2024-11-17,2024-11-28,81
V950,Supplier_506,Pune,10,4.8,82.78,2024-10-03,2024-10-13,84
V791,Supplier_507,Kolkata,5,4.8,107.66,2024-06-12,2024-06-17,70
V164,Supplier_508,Mumbai,13,4.6,89.61,2024-04-19,2024-05-02,72
V554,Supplier_509,Chennai,13,4.6,89.43,2024-04-08,2024-04-21,75
V920,Supplier_510,Lucknow,4,4.4,93.81,2024-08-17,2024-08-21,77
V165,Supplier_511,Kolkata,3,4.6,83.06,2024-10-01,2024-10-04,94
V265,Supplier_512,Kolkata,14,4.6,100.48,2024-11-07,2024-11-21,82
V865,Supplier_513,Pune,8,4.0,102.51,2024-07-12,2024-07-20,77
V883,Supplier_514,Hyderabad,10,5.0,84.51,2024-10-11,2024-10-21,80
V546,Supplier_515,Delhi,5,4.0,92.99,2024-04-05,2024-04-10,72
V130,Supplier_516,Pune,12,4.9,82.63,2024-06-26,2024-07-08,71
V219,Supplier_517,Delhi,7,3.6,91.98,2024-05-27,2024-06-03,78
V881,Supplier_518,Mumbai,4,4.4,101.55,2024-03-23,2024-03-27,85
V293,Supplier_519,Mumbai,7,4.7,86.94,2024-09-12,2024-09-19,72
V397,Supplier_520,Kolkata,5,4.1,104.38,2024-10-18,2024-10-23,71
V111,Supplier_521,Bangalore,5,3.6,110.89,2024-11-08,2024-11-13,70
V660,Supplier_522,Kolkata,3,4.8,115.27,2024-01-03,2024-01-06,72
V404,Supplier_523,Bangalore,3,3.6,116.01,2024-09-07,2024-09-10,82
V986,Supplier_524,Hyderabad,12,4.7,101.18,2024-05-01,2024-05-13,83
V685,Supplier_525,Lucknow,14,3.7,115.07,2024-11-02,2024-11-16,77
V428,Supplier_526,Chennai,4,4.5,109.16,2024-10-21,2024-10-25,76
V194,Supplier_527,Pune,8,4.0,102.5,2024-03-13,2024-03-21,81
V974,Supplier_528,Bangalore,11,3.9,96.14,2024-04-02,2024-04-13,73
V876,Supplier_529,Pune,13,4.4,86.74,2024-05-19,2024-06-01,95
V166,Supplier_530,Pune,4,3.7,81.65,2024-03-04,2024-03-08,71
V748,Supplier_531,Bangalore,12,5.0,83.13,2024-04-21,2024-05-03,72
V519,Supplier_532,Delhi,13,4.6,95.91,2024-07-16,2024-07-29,70
V828,Supplier_533,Bangalore,10,5.0,91.78,2024-05-06,2024-05-16,83
V222,Supplier_534,Delhi,7,4.4,113.51,2024-07-19,2024-07-26,89
V593,Supplier_535,Chennai,13,4.7,91.36,2024-06-16,2024-06-29,89
V501,Supplier_536,Bangalore,13,4.9,109.02,2024-04-25,2024-05-08,95
V777,Supplier_537,Chennai,8,4.3,101.11,2024-04-03,2024-04-11,80
V670,Supplier_538,Mumbai,14,3.6,119.17,2024-06-21,2024-07-05,73
